Product_Id,Precio_de_lista,Precio_con_Descuento,Marca,Categoria,Disponibilidad
1,7.65,7.65,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
2,8.98,8.98,Caroline's Treasures,Office|Retail Essentials|Name Badges & Lanyards,TRUE
3,8.98,8.98,Caroline's Treasures,Office|Labels & Label Makers|Labels|All Labels & Stickers,TRUE
4,8.98,8.98,Caroline's Treasures,Office|Labels & Label Makers|Labels|All Labels & Stickers,TRUE
5,9.87,9.87,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
6,10.46,10.46,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
7,10.59,10.59,Caroline's Treasures,Office|Notebooks & Pads|Sticky Notes,TRUE
8,10.84,10.84,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
9,14,11.59,Caroline's Treasures,Beauty|Makeup|Tools & Accessories,TRUE
10,11.72,11.72,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
11,12.59,12.59,Caroline's Treasures,Electronics|Computers|Computer Accessories|Computer Keyboards & Mice|Computer Mouse & Mouse Pads|Mouse Pads & Wrist Rests,TRUE
12,12.59,12.59,Caroline's Treasures,Electronics|Computers|Computer Accessories|Computer Keyboards & Mice|Computer Mouse & Mouse Pads|Mouse Pads & Wrist Rests,TRUE
13,12.9,12.9,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
14,12.9,12.9,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
15,12.9,12.9,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
16,12.9,12.9,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
17,12.99,12.99,Vickerman,,TRUE
18,13.52,13.52,Caroline's Treasures,Cell Phones|Cellphone Accessories|Cases & Protectors|Cell Phone Cases,TRUE
19,13.55,13.55,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
20,13.62,13.62,Pantene,Beauty|Hair Care|Conditioner,TRUE
21,13.99,13.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
22,13.99,13.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
23,13.99,13.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
24,13.99,13.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
25,13.99,13.99,Vickerman,,TRUE
26,13.99,13.99,Vickerman,,TRUE
27,13.99,13.99,Vickerman,,TRUE
28,14.47,14.47,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
29,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
30,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
31,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
32,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
33,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
34,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
35,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
36,14.99,14.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
37,14.99,14.99,Vickerman,,FALSE
38,15.85,15.85,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
39,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
40,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
41,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
42,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
43,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
44,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
45,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
46,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
47,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
48,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
49,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,TRUE
50,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
51,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
52,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
53,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
54,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
55,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
56,15.99,15.99,Victoria Klein,Health|Home Health Care|Daily Living Aids,FALSE
57,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
58,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
59,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
60,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
61,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
62,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
63,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
64,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
65,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
66,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
67,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
68,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
69,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
70,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
71,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
72,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
73,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
74,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
75,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
76,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
77,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
78,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
79,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
80,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
81,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
82,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
83,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
84,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
85,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
86,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
87,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
88,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
89,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
90,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
91,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
92,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
93,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
94,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
95,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
96,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
97,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
98,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
99,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
100,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
101,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
102,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
103,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
104,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
105,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,FALSE
106,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
107,15.99,15.99,Elegant Comfort,Home|Toddler|Toddler Bedding|Toddler Bedding Sets & Sheets,TRUE
